game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source_url
824117,2026-05-07,Kansas City Royals,Cleveland Guardians,-133,113,https://fantasydata.com/mlb/cleveland-guardians-odds
824362,2026-05-07,Colorado Rockies,New York Mets,122,-145,https://fantasydata.com/mlb/colorado-rockies-odds
824681,2026-05-07,Chicago Cubs,Cincinnati Reds,-200,166,https://fantasydata.com/mlb/chicago-cubs-odds
824767,2026-05-07,Boston Red Sox,Tampa Bay Rays,100,-119,https://fantasydata.com/mlb/boston-red-sox-odds
825090,2026-05-07,Arizona Diamondbacks,Pittsburgh Pirates,-113,-106,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822822,2026-05-08,Toronto Blue Jays,Los Angeles Angels,-161,136,https://fantasydata.com/mlb/los-angeles-angels-odds
822904,2026-05-08,Texas Rangers,Chicago Cubs,111,-132,https://fantasydata.com/mlb/chicago-cubs-odds
823225,2026-05-08,San Francisco Giants,Pittsburgh Pirates,-112,-106,https://fantasydata.com/mlb/pittsburgh-pirates-odds
823303,2026-05-08,San Diego Padres,St. Louis Cardinals,-149,125,https://fantasydata.com/mlb/san-diego-padres-odds
823466,2026-05-08,Philadelphia Phillies,Colorado Rockies,-232,193,https://fantasydata.com/mlb/colorado-rockies-odds
823794,2026-05-08,Milwaukee Brewers,New York Yankees,103,-123,https://fantasydata.com/mlb/milwaukee-brewers-odds
823871,2026-05-08,Miami Marlins,Washington Nationals,-138,117,https://fantasydata.com/mlb/miami-marlins-odds
823957,2026-05-08,Los Angeles Dodgers,Atlanta Braves,-114,-104,https://fantasydata.com/mlb/atlanta-braves-odds
824116,2026-05-08,Kansas City Royals,Detroit Tigers,-150,126,https://fantasydata.com/mlb/detroit-tigers-odds
824443,2026-05-08,Cleveland Guardians,Minnesota Twins,-147,124,https://fantasydata.com/mlb/cleveland-guardians-odds
824522,2026-05-08,Cincinnati Reds,Houston Astros,-128,107,https://fantasydata.com/mlb/cincinnati-reds-odds
824607,2026-05-08,Chicago White Sox,Seattle Mariners,115,-137,https://fantasydata.com/mlb/chicago-white-sox-odds
824768,2026-05-08,Boston Red Sox,Tampa Bay Rays,-135,114,https://fantasydata.com/mlb/boston-red-sox-odds
824846,2026-05-08,Baltimore Orioles,Athletics,-133,113,https://fantasydata.com/mlb/athletics-odds
825088,2026-05-08,Arizona Diamondbacks,New York Mets,104,-124,https://fantasydata.com/mlb/arizona-diamondbacks-odds
822820,2026-05-09,Toronto Blue Jays,Los Angeles Angels,-181,151,https://fantasydata.com/mlb/los-angeles-angels-odds
822905,2026-05-09,Texas Rangers,Chicago Cubs,113,-133,https://fantasydata.com/mlb/chicago-cubs-odds
823224,2026-05-09,San Francisco Giants,Pittsburgh Pirates,-110,-109,https://fantasydata.com/mlb/pittsburgh-pirates-odds
