game_id,game_date,week,home_team,away_team,home_score,away_score,predicted_spread,home_win_probability,confidence,model_disagreement,home_win_prob_from_model,win_prob_from_spread,home_win,actual_margin,predicted_margin,predicted_home_win,correct_winner
2025_01_DAL_PHI,2025-09-04,1,PHI,DAL,24,20,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,4,4.951684766569101,1,True
2025_01_KC_LAC,2025-09-05,1,LAC,KC,27,21,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,6,4.951684766569101,1,True
2025_01_ARI_NO,2025-09-07,1,NO,ARI,13,20,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-7,4.951684766569101,1,False
2025_01_BAL_BUF,2025-09-07,1,BUF,BAL,41,40,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,1,4.951684766569101,1,True
2025_01_CAR_JAX,2025-09-07,1,JAX,CAR,26,10,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,16,4.951684766569101,1,True
2025_01_CIN_CLE,2025-09-07,1,CLE,CIN,16,17,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-1,4.951684766569101,1,False
2025_01_DET_GB,2025-09-07,1,GB,DET,27,13,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,14,4.951684766569101,1,True
2025_01_HOU_LA,2025-09-07,1,LA,HOU,14,9,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,5,4.951684766569101,1,True
2025_01_LV_NE,2025-09-07,1,NE,LV,13,20,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-7,4.951684766569101,1,False
2025_01_MIA_IND,2025-09-07,1,IND,MIA,33,8,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,25,4.951684766569101,1,True
2025_01_NYG_WAS,2025-09-07,1,WAS,NYG,21,6,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,1,15,4.951684766569101,1,True
2025_01_PIT_NYJ,2025-09-07,1,NYJ,PIT,32,34,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-2,4.951684766569101,1,False
2025_01_SF_SEA,2025-09-07,1,SEA,SF,13,17,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-4,4.951684766569101,1,False
2025_01_TB_ATL,2025-09-07,1,ATL,TB,20,23,-4.951684766569101,0.7205311673799623,0.4410623347599245,0.2278619861210338,0.5715513592789041,0.7994133453999379,0,-3,4.951684766569101,1,False
