current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
49,T40,Scottie Scheffler,Scottie Scheffler,2.0,+2,72,0,,,72.0,-2.0,2.4396630330977547,0.6637978198586527,0.0,12.916,34.14,69.326,0.1196,36.64,0.6005510638026179,0.7370007950418512,3.0,-46.0
50,T40,Sepp Straka,Sepp Straka,2.0,+2,72,0,,,72.0,-2.0,0.1479107841453874,-0.7112535295127677,0.0,1.978,8.622,32.818000000000005,0.00125,1.4449999999999998,0.0835738889273463,0.1527176964793067,79.0,29.0
51,T40,Spencer Tibbits,Spencer Tibbits,2.0,+2,68,43,,,111.0,-41.0,-0.2357138963604145,-16.54142833781625,0.0,0.0,0.0,0.0,0.0006,0.655,0.0533543920955741,0.102872920611728,111.0,60.0
52,T40,Russell Henley,Russell Henley,2.0,+2,70,52,,,122.0,-52.0,0.8764555914040107,-20.274126645157594,0.0,0.0,0.0,0.0,0.0079,5.56,0.1918765144044503,0.3049522486714018,24.0,-28.0
53,T40,Aaron Rai,Aaron Rai,2.0,+2,74,56,,,130.0,-60.0,-0.0688625650082678,-24.04131753900496,0.0,0.0,0.0,0.0,0.00125,1.025,0.0653449340519783,0.1204170911534323,78.0,25.0
54,T40,Andrew Putnam,Andrew Putnam,2.0,+2,74,57,,,131.0,-61.0,0.1448274982486163,-24.313103501050833,0.0,0.0,0.0,0.0,0.0011,1.5650000000000002,0.0859989946195331,0.1549253969414224,83.0,29.0
55,T40,Jackson Van Paris,Jackson Van Paris,2.0,+2,70,68,,,138.0,-68.0,0.0096269430207616,-27.194223834187547,0.0,0.0,0.0,0.0,0.001,1.155,0.0721889233478955,0.1308142037890396,91.0,36.0
56,T40,John Parry,John Parry,2.0,+2,71,67,,,138.0,-68.0,1.0964299152368742,-26.54214205085788,0.0,0.0,0.0,0.0,0.015,7.68,0.2378228598573551,0.3618306744665525,14.0,-42.0
57,T57,Adam Scott,Adam Scott,3.0,+3,73,0,,,73.0,-3.0,0.97369901475836,-0.6157805911449842,0.0,1.244,6.4799999999999995,26.82,0.011,6.465,0.2140917502045635,0.3332869805399152,20.0,-37.0
58,T57,Andrew Novak,Andrew Novak,3.0,+3,73,0,,,73.0,-3.0,-0.4704734161166897,-1.482284049670014,0.0,0.24,1.76,11.462,0.00035,0.38,0.03959338104552,0.0784774494172243,121.0,63.0
59,T57,Brooks Koepka,Brooks Koepka,3.0,+3,73,0,,,73.0,-3.0,1.161950716064079,-0.5028295703615528,0.0,1.6320000000000001,7.252,29.659999999999997,0.01355,8.34,0.2492963046487556,0.3802348617881704,15.0,-44.0
60,T57,Dylan Wu,Dylan Wu,3.0,+3,73,0,,,73.0,-3.0,-0.2230030593936475,-1.3338018356361887,0.0,0.32399999999999995,2.188,13.19,0.001,0.645,0.0544234833110284,0.101023574228352,87.0,27.0
61,T57,Emiliano Grillo,Emiliano Grillo,3.0,+3,73,0,,,73.0,-3.0,-0.7070917067418737,-1.6242550240451243,0.0,0.23600000000000002,1.41,9.45,0.0002,0.2299999999999999,0.0294195156492975,0.0598835014826306,135.0,74.0
62,T57,Jacob Bridgeman,Jacob Bridgeman,3.0,+3,73,0,,,73.0,-3.0,0.447028960539701,-0.9317826236761796,0.0,0.74,4.093999999999999,20.422,0.0029,2.45,0.1194487504773539,0.2051934923947508,52.0,-10.0
63,T57,Marek Fleming,Marek Fleming,3.0,+3,72,40,,,112.0,-42.0,-0.5396389479945971,-17.123783368796758,0.0,0.0,0.0,0.0,0.0003,0.33,0.0361496199747579,0.0719463313685056,128.0,65.0
64,T57,Johnny Keefer,Johnny Keefer,3.0,+3,71,44,,,115.0,-45.0,-1.13173219150233,-18.6790393149014,0.0,0.0,0.0,0.0,0.0,0.05,0.0169705044226337,0.0364500492717135,155.0,91.0
65,T57,J.T. Poston,J.T. Poston,3.0,+3,71,48,,,119.0,-49.0,-0.2507232680482806,-19.75043396082897,0.0,0.0,0.0,0.0,0.0006,0.705,0.0528004858797529,0.1005066640164853,115.0,50.0
66,T57,Patrick Cantlay,Patrick Cantlay,3.0,+3,74,45,,,119.0,-49.0,1.0780533508136567,-18.953167989511808,0.0,0.0,0.0,0.0,0.01345,7.535,0.2341227566188388,0.3538819307034667,17.0,-49.0
67,T57,Joaquín Niemann,Joaquin Niemann,3.0,+3,78,45,,,123.0,-53.0,-0.2566954957744329,-21.35401729746466,0.0,0.0,0.0,0.0,0.0007,0.6799999999999999,0.0518172029094567,0.0996107229153212,103.0,36.0
68,T57,Min Woo Lee,Min Woo Lee,3.0,+3,74,49,,,123.0,-53.0,0.5606726691787287,-20.863596398492767,0.0,0.0,0.0,0.0,0.005,3.465,0.141152762707512,0.2385762742521939,36.0,-32.0
69,T57,Ryan Fox,Ryan Fox,3.0,+3,70,58,,,128.0,-58.0,0.0122080313824348,-23.192675181170543,0.0,0.0,0.0,0.0,0.001,1.05,0.0715627706449804,0.1339367855192638,86.0,17.0
70,T57,Max McGreevy,Max McGreevy,3.0,+3,68,67,,,135.0,-65.0,-0.1065416538156348,-26.06392499228938,0.0,0.0,0.0,0.0,0.00105,0.79,0.0626146191285018,0.1203681361723005,85.0,15.0
71,T57,Neal Shipley,Neal Shipley,3.0,+3,71,65,,,136.0,-66.0,-0.8673567476431443,-26.92041404858589,0.0,0.0,0.0,0.0,0.00015,0.125,0.0239654662986691,0.0481485396742023,137.0,66.0
72,T72,Alex Noren,Alex Noren,4.0,+4,74,0,,,74.0,-4.0,0.6489177907959591,-1.2106493255224247,0.0,0.234,1.524,10.346,0.00595,3.765,0.1523215377925273,0.2510080554801025,32.0,-40.0
73,T72,Ben Silverman,Ben Silverman,4.0,+4,74,0,,,74.0,-4.0,-0.0711587173788336,-1.6426952304273001,0.0,0.066,0.716,5.936,0.00095,0.98,0.0650911505713534,0.1194710381099547,96.0,23.0
74,T72,Chandler Phillips,Chandler Phillips,4.0,+4,74,0,,,74.0,-4.0,-1.125312397129366,-2.2751874382776194,0.0,0.01,0.198,2.328,0.0,0.06,0.0169663705112785,0.0358900787486306,154.0,80.0
75,T72,Eric Lee,Eric Lee,4.0,+4,74,0,,,74.0,-4.0,-0.5504486076197235,-1.9302691645718342,0.0,0.05,0.384,3.994,0.0001,0.36,0.0357104662379127,0.0715073477626136,141.0,66.0
76,T72,Ethan Fang,Ethan Fang,4.0,+4,74,0,,,74.0,-4.0,-2.0011503870224754,-2.8006902322134852,0.0,0.01,0.078,0.8699999999999999,0.0,0.005,0.0056879362662755,0.0130836936792934,156.0,80.0
77,T72,Jackson Suber,Jackson Suber,4.0,+4,74,0,,,74.0,-4.0,-0.6548562501687414,-1.9929137501012448,0.0,0.034,0.346,3.596,0.0003,0.2299999999999999,0.0314076058284731,0.0632610338201176,126.0,49.0
78,T72,Jimmy Stanger,Jimmy Stanger,4.0,+4,74,0,,,74.0,-4.0,-1.3750641837024289,-2.4250385102214573,0.0,0.01,0.13799999999999998,1.864,0.0,0.03,0.0120910371018635,0.0261798383519338,152.0,74.0
79,T72,Kurt Kitayama,Kurt Kitayama,4.0,+4,74,0,,,74.0,-4.0,0.3779566092578759,-1.3732260344452745,0.0,0.148,1.114,8.572000000000001,0.0033,2.39,0.1125372247572524,0.1945698843104953,45.0,-34.0
80,T72,Lucas Herbert,Lucas Herbert,4.0,+4,74,0,,,74.0,-4.0,0.2005785162005991,-1.4796528902796406,0.0,0.152,1.02,7.684,0.00245,1.71,0.0918358628330326,0.1638971440079041,54.0,-26.0
81,T72,Nick Taylor,Nick Taylor,4.0,+4,74,0,,,74.0,-4.0,0.2068829479323967,-1.475870231240562,0.0,0.13999999999999999,1.044,7.558,0.00195,1.785,0.0920303310181969,0.1660528764589007,60.0,-21.0
82,T72,Peter Uihlein,Peter Uihlein,4.0,+4,74,0,,,74.0,-4.0,-0.2324716120175499,-1.73948296721053,0.0,0.086,0.604,5.335999999999999,0.0006,0.66,0.0541206111924067,0.1023330893874858,110.0,28.0
83,T72,Sungjae Im,Sungjae Im,4.0,+4,74,0,,,74.0,-4.0,0.0651906026373516,-1.560885638417589,0.0,0.092,0.744,6.6659999999999995,0.0014,1.225,0.0776434375297557,0.1403952094521784,72.0,-11.0
84,T72,Tyrrell Hatton,Tyrrell Hatton,4.0,+4,74,0,,,74.0,-4.0,1.061657334900573,-0.9630055990596563,0.0,0.432,2.37,14.184,0.0135,7.455,0.2294847049992091,0.3505876159075087,16.0,-68.0
85,T72,Cole Hammer,Cole Hammer,4.0,+4,73,43,,,116.0,-46.0,-1.4318714048279508,-19.259122842896772,0.0,0.0,0.0,0.0,0.0,0.03,0.011865220252661,0.0255615755847862,148.0,63.0
86,T72,Hideki Matsuyama,Hideki Matsuyama,4.0,+4,71,53,,,124.0,-54.0,0.7920890199307731,-21.12474658804154,0.0,0.0,0.0,0.0,0.0075,4.865,0.1772453186832556,0.2848597634490271,29.0,-57.0
87,T72,Shane Lowry,Shane Lowry,4.0,+4,73,51,,,124.0,-54.0,0.5553988337478989,-21.266760699751263,0.0,0.0,0.0,0.0,0.00475,3.1850000000000005,0.1359681141780384,0.2318196819491046,38.0,-49.0
88,T72,Michael Brennan,Michael Brennan,4.0,+4,72,61,,,133.0,-63.0,-0.091119035560676,-25.254671421336408,0.0,0.0,0.0,0.0,0.0006,0.925,0.065509051063436,0.1186728857676978,112.0,24.0
89,T72,Bud Cauley,Bud Cauley,4.0,+4,72,65,,,137.0,-67.0,-0.0847972165046473,-26.850878329902788,0.0,0.0,0.0,0.0,0.0015,1.105,0.0654159175941132,0.1189229488628481,67.0,-22.0
90,T72,Laurie Canter,Laurie Canter,4.0,+4,72,68,,,140.0,-70.0,-0.1775884706633114,-28.106553082397987,0.0,0.0,0.0,0.0,0.001,0.83,0.0579644524868792,0.107935841474169,89.0,-1.0
91,T72,Sudarshan Yellamaraju,Sudarshan Yellamaraju,4.0,+4,73,67,,,140.0,-70.0,0.8419015301900934,-27.494859081885945,0.0,0.0,0.0,0.0,0.0074,5.26,0.185471287219533,0.2971667362520811,30.0,-61.0
92,T92,Caleb Surratt,Caleb Surratt,5.0,+5,75,0,,,75.0,-5.0,0.2174353668778826,-1.8695387798732703,0.0,0.03,0.25,2.642,0.0021,1.785,0.0946349405977035,0.1683423467022185,58.0,-34.0
93,T92,Cameron Smith,Cameron Smith,5.0,+5,75,0,,,75.0,-5.0,0.0318072717357487,-1.9809156369585508,0.0,0.012,0.198,2.2159999999999997,0.00155,1.155,0.0734107083720675,0.135390916877836,66.0,-27.0
94,T92,Chase Kyes,Chase Kyes,5.0,+5,75,0,,,75.0,-5.0,-0.5373375332058262,-2.3224025199234957,0.0,0.01,0.07200000000000001,1.314,0.00015,0.375,0.0382070891211546,0.0734315949264175,139.0,45.0
95,T92,Chris Gotterup,Chris Gotterup,5.0,+5,75,0,,,75.0,-5.0,0.676434190815489,-1.5941394855107067,0.0,0.034,0.416,4.146,0.00565,4.065,0.1560824589069289,0.2536918837839605,33.0,-62.0
96,T92,Filippo Celli,Filippo Celli,5.0,+5,75,0,,,75.0,-5.0,-0.9256791531912408,-2.5554074919147443,0.0,0.004,0.05,0.832,5e-05,0.1,0.0221883696742622,0.0468268622244241,146.0,50.0
97,T92,J.B. Holmes,J.B. Holmes,5.0,+5,75,0,,,75.0,-5.0,0.8579275641068389,-1.4852434615358967,0.0,0.066,0.596,4.716,0.0077,5.28,0.1875308422570689,0.2972758581541335,25.0,-72.0
98,T92,Jackson Herrington,Jackson Herrington,5.0,+5,75,0,,,75.0,-5.0,-0.0138540239000818,-2.008312414340049,0.0,0.018000000000000002,0.168,2.102,0.001,1.08,0.0704728123318358,0.131263798725257,88.0,-10.0
99,T92,Jayden Schaper,Jayden Schaper,5.0,+5,75,0,,,75.0,-5.0,1.24387151810637,-1.2536770891361781,0.0,0.11800000000000001,0.796,6.632000000000001,0.01675,9.67,0.2684862257322438,0.3950751826533073,12.0,-87.0
100,T92,Vaughn Harber,Vaughn Harber,5.0,+5,75,0,,,75.0,-5.0,-0.5585681766908542,-2.3351409060145123,0.0,0.008,0.092,1.23,0.0003,0.325,0.0353547508597586,0.0701292788804222,125.0,25.0
101,T92,Giuseppe Puebla,Giuseppe Puebla,5.0,+5,74,40,,,114.0,-44.0,-0.5442793343726731,-17.926567600623606,0.0,0.0,0.0,0.0,0.00035,0.2749999999999999,0.0355589924409493,0.0708147528180582,122.0,21.0
102,T92,Jordan Spieth,Jordan Spieth,5.0,+5,73,44,,,117.0,-47.0,0.9516515325440564,-18.229009080473567,0.0,0.0,0.0,0.0,0.00895,6.095,0.2049252375972738,0.3199263680147452,23.0,-79.0
103,T92,Billy Horschel,Billy Horschel,5.0,+5,73,48,,,121.0,-51.0,-0.4497579876017052,-20.669854792561026,0.0,0.0,0.0,0.0,0.00075,0.53,0.0418074412749756,0.0799989864502286,102.0,-1.0
104,T92,Nico Echavarria,Nicolas Echavarria,5.0,+5,71,50,,,121.0,-51.0,-0.2573142865491831,-20.55438857192951,0.0,0.0,0.0,0.0,0.0008,0.6799999999999999,0.052993098275509,0.099704243859879,100.0,-4.0
105,T92,Carlos Ortiz,Carlos Ortiz,5.0,+5,72,53,,,125.0,-55.0,0.3926923971077151,-21.764384561735373,0.0,0.0,0.0,0.0,0.003,2.265,0.1137311248447847,0.1963719773839189,50.0,-55.0
106,T92,Bryson DeChambeau,Bryson DeChambeau,5.0,+5,70,63,,,133.0,-63.0,1.523791808752382,-24.285724914748574,0.0,0.0,0.0,0.0,0.03,14.255,0.3399693523613529,0.4803822874468657,6.0,-100.0
107,T92,Viktor Hovland,Viktor Hovland,5.0,+5,76,57,,,133.0,-63.0,1.003493923065386,-24.59790364616077,0.0,0.0,0.0,0.0,0.01185,6.965000000000001,0.2172384956692101,0.3389137530623329,19.0,-88.0
108,T108,Brandon Holtz,Brandon Holtz,6.0,+6,76,0,,,76.0,-6.0,-0.0065573180191119,-2.4039343908114676,0.0,0.0,0.026,0.5599999999999999,0.00085,1.17,0.0708926057712886,0.1299679316956783,97.0,-11.0
109,T108,Graeme McDowell,Graeme McDowell,6.0,+6,76,0,,,76.0,-6.0,-0.4249700573029095,-2.654982034381746,0.0,0.008,0.027999999999999997,0.35400000000000004,0.00035,0.5,0.0425587222218347,0.0835698185261556,123.0,14.0
110,T108,Jake Peacock,Jake Peacock,6.0,+6,76,0,,,76.0,-6.0,-0.3386108507785249,-2.603166510467115,0.0,0.0,0.02,0.394,0.0007,0.5,0.0471954744022497,0.0911706626600446,104.0,-6.0
111,T108,Nathan Kimsey,Nathan Kimsey,6.0,+6,76,0,,,76.0,-6.0,0.3894873686051008,-2.16630757883694,0.0,0.002,0.066,0.95,0.00305,2.5,0.1164986142581244,0.1965261006063438,48.0,-63.0
112,T108,Manav Shah,Manav Shah,6.0,+6,73,38,,,111.0,-41.0,0.0014105599924015,-16.39915366400456,0.0,0.0,0.0,0.0,0.00165,1.135,0.0712712125795183,0.1323446749384526,64.0,-48.0
113,T108,Jack Schoenberger,Jack Schoenberger,6.0,+6,73,45,,,118.0,-48.0,-0.2434682100868011,-19.346080926052082,0.0,0.0,0.0,0.0,0.00065,0.58,0.0536479367659758,0.1022585047563786,108.0,-5.0
114,T108,Ryan Gerard,Ryan Gerard,6.0,+6,73,53,,,126.0,-56.0,0.1553589790950189,-22.30678461254299,0.0,0.0,0.0,0.0,0.00185,1.485,0.0876050317642679,0.1546060936298999,63.0,-51.0
115,T115,Jason Day,Jason Day,7.0,+7,46,0,,,46.0,24.0,0.3146451333591996,9.78878708001552,100.0,100.0,100.0,100.0,0.00245,1.915,0.1036012864335988,0.1802335446890247,56.0,-59.0
116,T115,Carl Yuan,Carl Yuan,7.0,+7,77,0,,,77.0,-7.0,-1.237288698290803,-3.542373218974482,0.0,0.0,0.0,0.027999999999999997,0.0001,0.06,0.0149531931806533,0.0317691459507749,140.0,24.0
117,T115,Daniel Berger,Daniel Berger,7.0,+7,77,0,,,77.0,-7.0,-0.1455162003841573,-2.8873097202304945,0.0,0.0,0.006,0.098,0.0006,0.7799999999999999,0.0598772126941882,0.1128057195550883,113.0,-4.0
