year,lgbm_ll,xgb_ll,meta_ll,lgbm_brier,xgb_brier,meta_brier,lgbm_auc,xgb_auc,meta_auc,lgbm_ece,xgb_ece,meta_ece,lgbm_accuracy,xgb_accuracy,meta_accuracy,train_rows,validation_rows
2016,0.6133390964761958,0.5946964477773079,0.6201983444802115,0.21079246205201296,0.2033328818168846,0.21446522347861777,0.726665181554912,0.7556248607707731,0.7429271552684339,0.10452268651876066,0.07097148172446151,0.13420190727216721,0.6940298507462687,0.7014925373134329,0.7313432835820896,798,134
2017,0.5314264254523114,0.523389863065697,0.5328178959709458,0.1806569099461441,0.17654171661469,0.17847817782919162,0.8081978168857207,0.8151035865448875,0.813321452439296,0.09272278587292895,0.08294320862684677,0.09058165245050892,0.746268656716418,0.746268656716418,0.7686567164179104,932,134
2018,0.6135773061387624,0.6085452081769437,0.6176785060050146,0.2104629872644621,0.2098521860103352,0.21352307536262377,0.736466919135665,0.7351303185564714,0.7411450211628425,0.09523455041253268,0.052408701448298206,0.08256196227307185,0.7164179104477612,0.6716417910447762,0.6940298507462687,1066,134
2019,0.5072018081956112,0.5171285968027172,0.5486320463462981,0.16999974094892434,0.1735393942363038,0.1824613756443041,0.8266874582312319,0.8179995544664737,0.8257963911784362,0.09746533764891556,0.08999423710490341,0.098834112215198,0.7089552238805971,0.7238805970149254,0.7164179104477612,1200,134
2021,0.6249395990134968,0.6300226441967255,0.6428919446510344,0.21805126825876472,0.2210232078858039,0.2255331361883577,0.7013314967860422,0.6907713498622591,0.6976584022038567,0.042524132066134104,0.07823981863982751,0.07409923839393971,0.6287878787878788,0.6060606060606061,0.6515151515151515,1334,132
2022,0.6588747075796485,0.6299049031773326,0.6543055998245335,0.2335890914952806,0.22077589603728662,0.2309810750247132,0.636890175985743,0.6870126977055024,0.669191356649588,0.07766323315272926,0.05531088173834245,0.06119056646507337,0.5522388059701493,0.5970149253731343,0.5895522388059702,1466,134
2023,0.6307258475778378,0.6244153574135293,0.6428877076369539,0.2203477643331521,0.21679983993559326,0.22538459712504133,0.6965916685230563,0.7202049454221431,0.7083983069725996,0.1150922282414753,0.05433272670454054,0.04838401365671493,0.6044776119402985,0.664179104477612,0.6194029850746269,1600,134
2024,0.5977440025060277,0.5687147369362594,0.5926061279051412,0.20842021433839666,0.19745257739063107,0.20346600318591324,0.7271107150813099,0.7598574292715526,0.7522833593227891,0.11249200054131986,0.06490457491643392,0.06892372063379885,0.6865671641791045,0.6716417910447762,0.664179104477612,1734,134
2025,0.453666084503893,0.47939057779553207,0.5050942796716779,0.14993363727162054,0.16218827469543928,0.16456410136105454,0.8663399420806415,0.8409445310759635,0.8572065047894853,0.05854898820381238,0.09350396392505561,0.10317178068712418,0.753731343283582,0.7611940298507462,0.753731343283582,1868,134
