current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_make_cut_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,1,Lanto Griffin,Lanto Griffin,-20.0,-20,72.0,52.0,,,124.0,10.0,-0.2383404666728667,3.85699571999628,71.322,100.0,99.148,99.91600000000001,100.0,0.0076,3.754,0.0964353687021239,0.1814155171947644,35,34
2,2,Neal Shipley,Neal Shipley,-17.0,-17,65.0,62.0,,,127.0,8.5,-0.2493541242052694,3.250387525476839,16.334,100.0,89.18599999999999,97.53399999999999,99.69200000000001,0.00682,3.748,0.0949216295758829,0.1783014358214798,104,102
3,3,Ben Kohles,Ben Kohles,-16.0,-16,65.0,63.0,,,128.0,8.0,-0.2382748324175539,3.057035100549468,9.058,100.0,79.706,94.08999999999999,98.976,0.00714,3.988,0.0987329653552542,0.185754349378747,78,75
4,T4,Max Greyserman,Max Greyserman,-13.0,-13,64.0,67.0,,,131.0,6.5,-0.061812477670774,2.562912513397536,1.064,100.0,37.192,67.07600000000001,89.122,0.01092,5.104,0.1214722169603576,0.2188392681145176,9,5
5,T4,Ricky Castillo,Ricky Castillo,-13.0,-13,69.0,62.0,,,131.0,6.5,-0.2418142480535466,2.454911451167872,0.938,100.0,34.8,65.02799999999999,88.036,0.00734,3.818,0.0967631378694753,0.1829937376619503,53,48
6,6,Eric Cole,Eric Cole,-12.0,-12,64.0,68.0,,,132.0,6.0,-0.2388615271877175,2.2566830836873697,0.27999999999999997,100.0,21.262,49.147999999999996,77.958,0.00748,3.766,0.0961447592499164,0.1817130358334548,46,40
7,T7,Jackson Suber,Jackson Suber,-11.0,-11,65.0,68.0,,,133.0,5.5,-0.2515890365691364,2.0490465780585185,0.11,100.0,11.574,33.62,64.484,0.00666,3.5680000000000005,0.0947290960929963,0.1786375187038188,110,103
8,T7,Jacob Bridgeman,Jacob Bridgeman,-11.0,-11,66.0,67.0,,,133.0,5.5,-0.2618033434559599,2.0429179939264244,0.124,100.0,11.086,33.238,64.25800000000001,0.00666,3.598,0.093491100984641,0.176488371581208,111,103
9,T7,Pontus Nyholm,Pontus Nyholm,-11.0,-11,66.0,67.0,,,133.0,5.5,-0.2405437566096763,2.0556737460341945,0.116,100.0,11.516,33.68,65.158,0.0071,3.778,0.0958682826615767,0.1827444908343794,83,74
10,T7,Séamus Power,Séamus Power,-11.0,-11,66.0,67.0,,,133.0,5.5,-0.2521241642015809,2.0487255014790517,0.126,100.0,11.512,33.498,64.728,0.00678,3.646,0.0961181611405361,0.1794785665733171,105,95
11,T11,Austin Smotherman,Austin Smotherman,-10.0,-10,66.0,68.0,,,134.0,5.0,-0.2500098212750186,1.8499941072349888,0.032,100.0,5.4719999999999995,20.238,49.008,0.00772,3.858000000000001,0.0966359314579627,0.1822092848974826,26,15
12,T11,Ben James,Ben James,-10.0,-10,67.0,67.0,,,134.0,5.0,-0.2524046578787743,1.8485572052727355,0.032,100.0,5.609999999999999,20.366,48.766,0.0075,3.69,0.094937191543731,0.1809545381382445,42,30
13,T11,Chris Kirk,Chris Kirk,-10.0,-10,65.0,69.0,,,134.0,5.0,-0.0332209992562564,1.9800674004462462,0.055999999999999994,100.0,6.432,22.456,51.88,0.01048,5.448,0.1268365560299459,0.2264425104562227,10,-3
14,T11,J.T. Poston,J.T. Poston,-10.0,-10,68.0,66.0,,,134.0,5.0,-0.3324771611468162,1.8005137033119103,0.022000000000000002,100.0,5.2780000000000005,19.926,48.096,0.00662,3.378,0.0870190441141572,0.1657916416864049,114,100
15,T11,John VanDerLaan,John VanDerLaan,-10.0,-10,68.0,66.0,,,134.0,5.0,-0.2546189899462319,1.847228606032261,0.034,100.0,5.638,20.291999999999998,49.0,0.00674,3.618,0.0939056826977682,0.177419633995372,108,93
16,T11,Kevin Roy,Kevin Roy,-10.0,-10,67.0,67.0,,,134.0,5.0,-0.2639441178620197,1.8416335292827881,0.03,100.0,5.584,20.438000000000002,48.928,0.00702,3.682,0.0943681150539576,0.1780290075330776,91,75
17,T11,Marco Penge,Marco Penge,-10.0,-10,68.0,66.0,,,134.0,5.0,-0.2634131201958314,1.841952127882501,0.03,100.0,5.704,20.754,48.902,0.00716,3.592,0.0931586850653873,0.1756356611860113,73,56
18,T11,Rico Hoey,Rico Hoey,-10.0,-10,67.0,67.0,,,134.0,5.0,-0.2429853818281519,1.8542087709031088,0.04,100.0,5.7459999999999996,20.684,49.193999999999996,0.00704,3.94,0.0984119612050432,0.1823672938043333,89,71
19,T11,Steven Fisk,Steven Fisk,-10.0,-10,68.0,66.0,,,134.0,5.0,-0.2626228430791811,1.8424262941524914,0.058,100.0,5.5280000000000005,20.34,48.748000000000005,0.00678,3.744,0.0946593160313425,0.1773813864532725,106,87
20,T11,Zecheng Dou,Zecheng Dou,-10.0,-10,67.0,67.0,,,134.0,5.0,-0.2585920983700994,1.8448447409779405,0.03,100.0,5.648000000000001,20.362,49.004,0.00686,3.582,0.0943058611215953,0.1773615876504024,101,81
21,T21,Austin Eckroat,Austin Eckroat,-9.0,-9,69.0,66.0,,,135.0,4.5,-0.3191764194453573,1.6084941483327857,0.01,100.0,2.262,10.684000000000001,32.786,0.00654,3.292,0.0878679119959115,0.1684708057824001,117,96
22,T21,Ben Silverman,Ben Silverman,-9.0,-9,68.0,67.0,,,135.0,4.5,-0.2441297344093047,1.6535221593544172,0.022000000000000002,100.0,2.436,11.126,34.016000000000005,0.00718,3.678,0.0961168836582671,0.1814060288834455,71,49
23,T21,Billy Horschel,Billy Horschel,-9.0,-9,67.0,68.0,,,135.0,4.5,-0.3732643142686682,1.576041411438799,0.012,100.0,2.2640000000000002,10.236,32.166,0.00554,3.01,0.0812944074472713,0.1583956493938567,119,96
24,T21,Brice Garnett,Brice Garnett,-9.0,-9,69.0,66.0,,,135.0,4.5,-0.2620164398632516,1.6427901360820492,0.01,100.0,2.352,10.932,33.456,0.00676,3.5540000000000003,0.0940678337790675,0.1762552730645621,107,83
25,T21,Chad Ramey,Chad Ramey,-9.0,-9,67.0,68.0,,,135.0,4.5,-0.2588433561995261,1.6446939862802843,0.004,100.0,2.456,11.176,33.864,0.00758,3.724,0.0950160874613861,0.178198844241686,36,11
26,T21,Gordon Sargent,Gordon Sargent,-9.0,-9,66.0,69.0,,,135.0,4.5,-0.2640026266265201,1.641598424024088,0.02,100.0,2.456,10.82,33.416000000000004,0.00742,3.758,0.0952058490741876,0.1793385117411973,49,23
27,T21,Jackson Koivun,Jackson Koivun,-9.0,-9,68.0,67.0,,,135.0,4.5,-0.2429959174403911,1.6542024495357655,0.016,100.0,2.4699999999999998,11.124,33.461999999999996,0.00736,3.748,0.0963115459989298,0.182510840126704,51,24
28,T21,John Parry,John Parry,-9.0,-9,68.0,67.0,,,135.0,4.5,-0.2633573158593749,1.641985610484375,0.016,100.0,2.378,10.932,33.526,0.00684,3.562,0.0929058473665499,0.175766042252308,102,74
29,T21,Mackenzie Hughes,Mackenzie Hughes,-9.0,-9,65.0,70.0,,,135.0,4.5,-0.264106688555122,1.6415359868669268,0.012,100.0,2.3800000000000003,11.246,33.548,0.00692,3.71,0.0941968191441068,0.1778140729648841,97,68
30,T21,Paul Peterson,Paul Peterson,-9.0,-9,67.0,68.0,,,135.0,4.5,-0.2508102851002035,1.6495138289398779,0.008,100.0,2.352,11.124,33.524,0.0072,3.734,0.0951795785693226,0.1790069299461736,63,33
31,T21,Zach Bauchou,Zach Bauchou,-9.0,-9,67.0,68.0,,,135.0,4.5,-0.2620391699362172,1.6427764980382698,0.008,100.0,2.412,10.834000000000001,33.518,0.00718,3.718,0.0949369520386622,0.17798230261703,68,37
32,T32,Adam Schenk,Adam Schenk,-8.0,-8,68.0,68.0,,,136.0,4.0,-1.4720204118036584,0.716787752917805,0.0,100.0,0.36,2.332,10.966,0.00034,0.294,0.0160372407939235,0.038156875119179,130,98
33,T32,Ben Martin,Ben Martin,-8.0,-8,67.0,69.0,,,136.0,4.0,-0.239098801292502,1.456540719224499,0.0,100.0,0.928,5.386,20.752000000000002,0.0075,3.78,0.0969903773074397,0.1830308002692725,43,10
