current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_make_cut_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
1,1,J.J. Spaun,J.J. Spaun,-47.0,-47,23.0,,,,233.0,11.75,0.0510416720921986,4.730625003255319,100.0,100.0,100.0,100.0,100.0,0.00986,7.558,0.2028139242076314,0.5120572636323366,20,19
2,2,Scottie Scheffler,Scottie Scheffler,-16.0,-16,65.0,67.0,66.0,66.0,264.0,4.0,1.673621358733749,2.6041728152402497,0.0,100.0,100.0,100.0,100.0,0.13626,45.254,0.6748908314317315,0.890613171682019,1,-1
3,3,Viktor Hovland,Viktor Hovland,-13.0,-13,64.0,66.0,65.0,72.0,267.0,3.25,1.2901247890290275,2.0740748734174166,0.0,100.0,100.0,100.0,100.0,0.07696,32.734,0.5578574606296667,0.8307867459729854,3,0
4,4,Ryan Gerard,Ryan Gerard,-12.0,-12,65.0,65.0,66.0,72.0,268.0,3.0,-0.2636606367767464,1.0418036179339523,0.0,100.0,100.0,100.0,100.0,0.00546,4.71,0.1420790955297318,0.4208891008458997,22,18
5,T5,Alex Fitzpatrick,Alex Fitzpatrick,-11.0,-11,68.0,68.0,67.0,66.0,269.0,2.75,-0.2446460569905224,0.9532123658056867,0.0,100.0,100.0,100.0,100.0,0.00528,4.836,0.1482965589976005,0.4270638091751816,24,19
6,T5,Chris Gotterup,Chris Gotterup,-11.0,-11,64.0,67.0,67.0,71.0,269.0,2.75,-0.2639762711778693,0.9416142372932785,0.0,100.0,0.0,100.0,100.0,0.00496,4.7780000000000005,0.1445868697778849,0.4213076359699265,26,20
7,T5,Jacob Bridgeman,Jacob Bridgeman,-11.0,-11,68.0,67.0,66.0,68.0,269.0,2.75,-0.2618033434559599,0.9429179939264242,0.0,100.0,0.0,100.0,100.0,0.0049,4.874,0.142331100984641,0.4184083715812079,28,21
8,T5,Ludvig Åberg,Ludvig Åberg,-11.0,-11,65.0,68.0,65.0,71.0,269.0,2.75,0.8939920920731343,1.6363952552438805,0.0,100.0,0.0,100.0,100.0,0.04234,22.13,0.4307699379621197,0.7480471616980131,9,1
9,T5,Min Woo Lee,Min Woo Lee,-11.0,-11,62.0,73.0,66.0,68.0,269.0,2.75,0.8009227530980494,1.5805536518588297,0.0,100.0,0.0,100.0,100.0,0.03718,20.16,0.4002062122923739,0.7244315313649219,13,4
10,T5,Rory McIlroy,Rory McIlroy,-11.0,-11,68.0,69.0,63.0,69.0,269.0,2.75,1.21426484911032,1.8285589094661923,0.0,100.0,0.0,100.0,100.0,0.06918,30.622,0.5313788934594047,0.8160459778851781,5,-5
