id,league,season,week,game_time_utc,home_team,away_team,book_spread,home_score,away_score,game_id,my_spread,my_home_win_prob,model_version,asof_ts,actual_margin,cover_margin,ats_result,edge_vs_book,abs_edge_vs_book
29ff758d-e0fc-4524-a6e0-b0dfdd93db2f,NFL,2025,9,2025-11-02T00:00:00+00:00,PIT,IND,3.0,27,20,29ff758d-e0fc-4524-a6e0-b0dfdd93db2f,6.03249069724061,0.362626015744227,v2,2025-11-18 01:07:59.891509+00:00,7,13.032490697240611,win,3.0324906972406103,3.0324906972406103
a91e32ee-61eb-428c-b45b-cdc686798602,NFL,2025,9,2025-11-02T00:00:00+00:00,GB,CAR,13.5,13,16,a91e32ee-61eb-428c-b45b-cdc686798602,-7.14481336285024,0.713765778690864,v2,2025-11-18 01:07:59.891509+00:00,-3,-10.14481336285024,loss,-20.64481336285024,20.64481336285024
7b585c39-d651-4aa2-912f-5cd05399beed,NFL,2025,9,2025-11-02T00:00:00+00:00,WAS,SEA,3.0,14,38,7b585c39-d651-4aa2-912f-5cd05399beed,4.75047412540588,0.37894689933726,v2,2025-11-18 01:07:59.891509+00:00,-24,-19.24952587459412,loss,1.75047412540588,1.75047412540588
856d1b1e-b526-45bf-84a8-d7be8ce14999,NFL,2025,9,2025-11-02T00:00:00+00:00,HOU,DEN,-2.5,15,18,856d1b1e-b526-45bf-84a8-d7be8ce14999,-3.33307664298858,0.487649326965038,v2,2025-11-18 01:07:59.891509+00:00,-3,-6.33307664298858,loss,-0.8330766429885799,0.8330766429885799
90405015-120c-4191-a42d-4b3bdf2f2db8,NFL,2025,9,2025-11-02T00:00:00+00:00,LA,NO,14.5,34,10,90405015-120c-4191-a42d-4b3bdf2f2db8,-13.4629828441444,0.820975430842364,v2,2025-11-18 01:07:59.891509+00:00,24,10.5370171558556,win,-27.9629828441444,27.9629828441444
cebaee16-3c39-49c0-8ad3-009863005ced,NFL,2025,9,2025-11-02T00:00:00+00:00,TEN,LAC,10.0,20,27,cebaee16-3c39-49c0-8ad3-009863005ced,9.03946647452431,0.220306095469159,v2,2025-11-18 01:07:59.891509+00:00,-7,2.0394664745243105,win,-0.9605335254756895,0.9605335254756895
d05e4c8e-c524-49f5-af5c-ef214230bcec,NFL,2025,9,2025-11-02T00:00:00+00:00,LV,JAX,1.0,29,30,d05e4c8e-c524-49f5-af5c-ef214230bcec,5.24290925451639,0.317840598555706,v2,2025-11-18 01:07:59.891509+00:00,-1,4.24290925451639,win,4.24290925451639,4.24290925451639
c716e6ab-1fd7-4dc8-b441-3f66c96f34f8,NFL,2025,9,2025-11-02T00:00:00+00:00,BUF,KC,2.5,28,21,c716e6ab-1fd7-4dc8-b441-3f66c96f34f8,-2.28179329793979,0.533086409691961,v2,2025-11-18 01:07:59.891509+00:00,7,4.718206702060209,win,-4.781793297939791,4.781793297939791
f32299c7-ac86-4728-8d36-d0c022c16945,NFL,2025,9,2025-11-02T00:00:00+00:00,NE,ATL,5.5,24,23,f32299c7-ac86-4728-8d36-d0c022c16945,-8.94882839093234,0.736687574052633,v2,2025-11-18 01:07:59.891509+00:00,1,-7.94882839093234,loss,-14.44882839093234,14.44882839093234
2f21931a-5601-4ccd-85ea-caf0e25662d7,NFL,2025,9,2025-11-02T00:00:00+00:00,NYG,SF,2.5,24,34,2f21931a-5601-4ccd-85ea-caf0e25662d7,-1.16452181181742,0.508644509947262,v2,2025-11-18 01:07:59.891509+00:00,-10,-11.16452181181742,loss,-3.66452181181742,3.66452181181742
6639d75e-8f02-4ef7-8d3a-138efaf2fe80,NFL,2025,9,2025-11-03T00:00:00+00:00,DAL,ARI,3.0,17,27,6639d75e-8f02-4ef7-8d3a-138efaf2fe80,-1.95184874272988,0.586891147258863,v2,2025-11-18 01:07:59.891509+00:00,-10,-11.95184874272988,loss,-4.95184874272988,4.95184874272988
aadc6a9b-3d33-4fa6-92a7-bec9e9f07d7b,NFL,2025,10,2025-11-06T00:00:00+00:00,DEN,LV,-8.5,10,7,aadc6a9b-3d33-4fa6-92a7-bec9e9f07d7b,-10.0495707860408,0.753152576704011,v2,2025-11-17 23:34:28.512830+00:00,3,-7.0495707860408,loss,-1.5495707860407997,1.5495707860407997
4b7340ec-b870-4e5a-86dc-91e49ef06909,NFL,2025,10,2025-11-09T00:00:00+00:00,NYJ,CLE,2.0,27,20,4b7340ec-b870-4e5a-86dc-91e49ef06909,-4.65053297348994,0.612056215610071,v2,2025-11-17 23:34:28.512830+00:00,7,2.3494670265100597,win,-6.65053297348994,6.65053297348994
02f13710-ab94-42c8-ac39-297c33db7680,NFL,2025,10,2025-11-09T00:00:00+00:00,CAR,NO,-5.5,7,17,02f13710-ab94-42c8-ac39-297c33db7680,-4.57056059151647,0.7071493554533,v2,2025-11-17 23:34:28.512830+00:00,-10,-14.57056059151647,loss,0.92943940848353,0.92943940848353
b2fa60d3-f67c-4ac8-a515-3869cc30d1f5,NFL,2025,10,2025-11-09T00:00:00+00:00,MIN,BAL,4.5,19,27,b2fa60d3-f67c-4ac8-a515-3869cc30d1f5,3.76046229571304,0.398298262270119,v2,2025-11-17 23:34:28.512830+00:00,-8,-4.23953770428696,loss,-0.7395377042869602,0.7395377042869602
4999ea05-80d6-44e1-bb94-c330527f1e2d,NFL,2025,10,2025-11-09T00:00:00+00:00,WAS,DET,8.5,22,44,4999ea05-80d6-44e1-bb94-c330527f1e2d,6.89398455666825,0.372506128989933,v2,2025-11-17 23:34:28.512830+00:00,-22,-15.10601544333175,loss,-1.6060154433317502,1.6060154433317502
eb7b2022-7fc0-493d-8b72-7afbab4777e7,NFL,2025,10,2025-11-09T00:00:00+00:00,TB,NE,-2.5,23,28,eb7b2022-7fc0-493d-8b72-7afbab4777e7,-1.36698034079888,0.502760340288437,v2,2025-11-17 23:34:28.512830+00:00,-5,-6.3669803407988805,loss,1.13301965920112,1.13301965920112
0056dd81-e734-4cae-9198-0e5601185bc7,NFL,2025,10,2025-11-09T00:00:00+00:00,CHI,NYG,-4.5,24,20,0056dd81-e734-4cae-9198-0e5601185bc7,-5.52956184947965,0.610481109608652,v2,2025-11-17 23:34:28.512830+00:00,4,-1.5295618494796503,loss,-1.0295618494796503,1.0295618494796503
843e55b6-86be-4b91-b11a-b5885b9132a7,NFL,2025,10,2025-11-09T00:00:00+00:00,LAC,PIT,-3.0,25,10,843e55b6-86be-4b91-b11a-b5885b9132a7,1.14257762351292,0.501921131127192,v2,2025-11-17 23:34:28.512830+00:00,15,16.14257762351292,win,4.14257762351292,4.14257762351292
fe1bc89e-6978-4aba-afdb-2ed1c3269dfb,NFL,2025,10,2025-11-09T00:00:00+00:00,SF,LA,6.0,26,42,fe1bc89e-6978-4aba-afdb-2ed1c3269dfb,2.47869486780694,0.480915417879046,v2,2025-11-17 23:34:28.512830+00:00,-16,-13.52130513219306,loss,-3.52130513219306,3.52130513219306
24b26626-20fa-4810-b3ac-e0163a4b3e09,NFL,2025,10,2025-11-09T00:00:00+00:00,MIA,BUF,8.0,30,13,24b26626-20fa-4810-b3ac-e0163a4b3e09,8.22475062491722,0.282824713040242,v2,2025-11-17 23:34:28.512830+00:00,17,25.22475062491722,win,0.22475062491722042,0.22475062491722042
d4d753e4-68ae-4d74-be05-547d6d2831fb,NFL,2025,10,2025-11-09T00:00:00+00:00,IND,ATL,-6.0,31,25,d4d753e4-68ae-4d74-be05-547d6d2831fb,-12.5381297606218,0.815222176804129,v2,2025-11-17 23:34:28.512830+00:00,6,-6.5381297606218,loss,-6.5381297606218,6.5381297606218
dc72d310-31a7-43fd-ad8f-58b60051230f,NFL,2025,10,2025-11-09T00:00:00+00:00,HOU,JAX,-1.0,36,29,dc72d310-31a7-43fd-ad8f-58b60051230f,-3.4738866844009,0.53819932471868,v2,2025-11-17 23:34:28.512830+00:00,7,3.5261133155991,win,-2.4738866844009,2.4738866844009
20fde64a-2100-43bc-ae46-668dce0d5408,NFL,2025,10,2025-11-09T00:00:00+00:00,SEA,ARI,-7.5,44,22,20fde64a-2100-43bc-ae46-668dce0d5408,-5.13381954500677,0.665987281441404,v2,2025-11-17 23:34:28.512830+00:00,22,16.86618045499323,win,2.3661804549932297,2.3661804549932297
e6c10f1f-d889-4138-91e9-f9c72f722b94,NFL,2025,10,2025-11-10T00:00:00+00:00,GB,PHI,1.0,7,10,e6c10f1f-d889-4138-91e9-f9c72f722b94,0.535818135187606,0.506575171876242,v2,2025-11-17 23:34:28.512830+00:00,-3,-2.464181864812394,loss,-0.464181864812394,0.464181864812394
6f11a172-895f-4166-838e-863a46b9b6ef,NFL,2025,11,2025-11-13T20:15:00+00:00,NE,NYJ,-12.5,27,14,6f11a172-895f-4166-838e-863a46b9b6ef,-6.33090127279081,0.7816396402575,v1,2025-11-13 02:23:16.505072+00:00,13,6.66909872720919,win,6.16909872720919,6.16909872720919
0810295c-62fe-401a-9571-be6abd29d529,NFL,2025,11,2025-11-16T00:00:00+00:00,BUF,TB,-5.5,44,32,0810295c-62fe-401a-9571-be6abd29d529,-4.0232547253034,0.642543686373771,v2,2025-11-14 20:52:58.187879+00:00,12,7.9767452746966,win,1.4767452746965999,1.4767452746965999
e9809aca-0da8-46d3-ba9e-ed29626ce08e,NFL,2025,11,2025-11-16T00:00:00+00:00,NYG,GB,7.0,20,27,e9809aca-0da8-46d3-ba9e-ed29626ce08e,2.83230929558916,0.459689643973734,v2,2025-11-14 20:52:58.187879+00:00,-7,-4.16769070441084,loss,-4.16769070441084,4.16769070441084
c149482b-14ec-40d5-a4b4-d8d3f1b9e63d,NFL,2025,11,2025-11-16T00:00:00+00:00,MIN,CHI,-3.0,17,19,c149482b-14ec-40d5-a4b4-d8d3f1b9e63d,2.69896062424191,0.357150893311355,v2,2025-11-14 20:52:58.187879+00:00,-2,0.6989606242419102,win,5.69896062424191,5.69896062424191
20db15c3-7039-4c0d-80b1-ae85bf7ac9c3,NFL,2025,11,2025-11-16T00:00:00+00:00,PIT,CIN,-5.5,34,12,20db15c3-7039-4c0d-80b1-ae85bf7ac9c3,-4.13276185896341,0.471239559633408,v2,2025-11-14 20:52:58.187879+00:00,22,17.86723814103659,win,1.36723814103659,1.36723814103659
8ec6ecd6-8f59-4b73-9dec-6db1f7bf6443,NFL,2025,11,2025-11-16T00:00:00+00:00,JAX,LAC,3.0,35,6,8ec6ecd6-8f59-4b73-9dec-6db1f7bf6443,1.08216975031237,0.433739484866243,v2,2025-11-14 20:52:58.187879+00:00,29,30.08216975031237,win,-1.91783024968763,1.91783024968763
2f58b2d8-c25f-4325-b9bd-89ff2b837bff,NFL,2025,11,2025-11-16T00:00:00+00:00,CLE,BAL,7.5,16,23,2f58b2d8-c25f-4325-b9bd-89ff2b837bff,6.25572197925132,0.303889997006546,v2,2025-11-14 20:52:58.187879+00:00,-7,-0.7442780207486797,loss,-1.2442780207486797,1.2442780207486797
7030d593-e508-4a8c-916c-88e1ec9a3384,NFL,2025,11,2025-11-16T00:00:00+00:00,MIA,WAS,-2.5,16,13,7030d593-e508-4a8c-916c-88e1ec9a3384,-2.31994860033898,0.576147234653103,v2,2025-11-14 20:52:58.187879+00:00,3,0.68005139966102,win,0.18005139966102002,0.18005139966102002
0b3c81a5-9aea-43ed-a98b-05e018749e05,NFL,2025,11,2025-11-16T00:00:00+00:00,PHI,DET,-2.5,16,9,0b3c81a5-9aea-43ed-a98b-05e018749e05,1.53916539860563,0.488543365957706,v2,2025-11-14 20:52:58.187879+00:00,7,8.539165398605629,win,4.03916539860563,4.03916539860563
21618fcf-0c3e-47ca-b9a3-3284b15b8453,NFL,2025,11,2025-11-16T00:00:00+00:00,ATL,CAR,-3.5,27,30,21618fcf-0c3e-47ca-b9a3-3284b15b8453,-0.796677237009396,0.506988367993902,v2,2025-11-14 20:52:58.187879+00:00,-3,-3.796677237009396,loss,2.703322762990604,2.703322762990604
18909f59-20c4-47a9-8f82-896514c2fb02,NFL,2025,11,2025-11-16T00:00:00+00:00,TEN,HOU,6.5,13,16,18909f59-20c4-47a9-8f82-896514c2fb02,8.88271043115968,0.302310454639546,v2,2025-11-14 20:52:58.187879+00:00,-3,5.88271043115968,win,2.38271043115968,2.38271043115968
9b442ed3-df84-4807-aa19-a7e87055ae19,NFL,2025,11,2025-11-16T00:00:00+00:00,LA,SEA,-3.0,21,19,9b442ed3-df84-4807-aa19-a7e87055ae19,-3.86484711670303,0.609522062293225,v2,2025-11-14 20:52:58.187879+00:00,2,-1.86484711670303,loss,-0.86484711670303,0.86484711670303
a01df5e2-c0c1-4175-95ee-b4d346ef487b,NFL,2025,11,2025-11-16T00:00:00+00:00,DEN,KC,3.5,22,19,a01df5e2-c0c1-4175-95ee-b4d346ef487b,-0.215550580517501,0.414078394445591,v2,2025-11-14 20:52:58.187879+00:00,3,2.784449419482499,win,-3.715550580517501,3.715550580517501
aed12b78-2fdf-49fd-b91f-82ca42cb7758,NFL,2025,11,2025-11-16T00:00:00+00:00,ARI,SF,3.0,22,41,aed12b78-2fdf-49fd-b91f-82ca42cb7758,0.310895778049776,0.440683220394526,v2,2025-11-14 20:52:58.187879+00:00,-19,-18.689104221950224,loss,-2.689104221950224,2.689104221950224
f913a4c5-b7ba-4369-9d36-d25699f24f59,NFL,2025,11,2025-11-17T00:00:00+00:00,LV,DAL,3.5,16,33,f913a4c5-b7ba-4369-9d36-d25699f24f59,5.92863393788499,0.252311282987207,v2,2025-11-14 20:52:58.187879+00:00,-17,-11.071366062115011,loss,2.4286339378849897,2.4286339378849897
