game_pk,game_date,home_team,away_team,home_moneyline,away_moneyline,source
778498,2025-04-01,Cincinnati Reds,Texas Rangers,120,-156,checkbestodds
778469,2025-04-02,Seattle Mariners,Detroit Tigers,102,-127,checkbestodds
778471,2025-04-02,Athletics,Chicago Cubs,-127,-103,checkbestodds
778472,2025-04-02,Los Angeles Dodgers,Atlanta Braves,-222,166,checkbestodds
778473,2025-04-02,St. Louis Cardinals,Los Angeles Angels,-147,114,checkbestodds
778474,2025-04-02,Chicago White Sox,Minnesota Twins,144,-196,checkbestodds
778475,2025-04-02,Houston Astros,San Francisco Giants,-185,135,checkbestodds
778476,2025-04-02,San Diego Padres,Cleveland Guardians,-192,142,checkbestodds
778477,2025-04-02,Milwaukee Brewers,Kansas City Royals,-120,100,checkbestodds
778478,2025-04-02,Toronto Blue Jays,Washington Nationals,-112,-112,checkbestodds
778479,2025-04-02,Tampa Bay Rays,Pittsburgh Pirates,-108,-116,checkbestodds
778480,2025-04-02,Cincinnati Reds,Texas Rangers,-147,117,checkbestodds
778481,2025-04-02,Miami Marlins,New York Mets,163,-217,checkbestodds
778482,2025-04-02,Philadelphia Phillies,Colorado Rockies,-345,238,checkbestodds
778483,2025-04-02,Baltimore Orioles,Boston Red Sox,103,-132,checkbestodds
778484,2025-04-02,New York Yankees,Arizona Diamondbacks,-154,116,checkbestodds
778462,2025-04-03,Minnesota Twins,Houston Astros,-143,112,checkbestodds
778466,2025-04-03,New York Yankees,Arizona Diamondbacks,-145,113,checkbestodds
778467,2025-04-03,Philadelphia Phillies,Colorado Rockies,-233,166,checkbestodds
778468,2025-04-03,Milwaukee Brewers,Cincinnati Reds,-123,100,checkbestodds
778470,2025-04-03,Baltimore Orioles,Boston Red Sox,-139,112,checkbestodds
778444,2025-04-04,San Francisco Giants,Seattle Mariners,-156,125,checkbestodds
778447,2025-04-04,Los Angeles Angels,Cleveland Guardians,-109,-119,checkbestodds
778453,2025-04-04,Milwaukee Brewers,Cincinnati Reds,-137,105,checkbestodds
778454,2025-04-04,Texas Rangers,Tampa Bay Rays,-135,106,checkbestodds
778455,2025-04-04,Kansas City Royals,Baltimore Orioles,-108,-114,checkbestodds
778456,2025-04-04,Colorado Rockies,Athletics,-109,-123,checkbestodds
778457,2025-04-04,Washington Nationals,Arizona Diamondbacks,133,-172,checkbestodds
778458,2025-04-04,Detroit Tigers,Chicago White Sox,-256,188,checkbestodds
778459,2025-04-04,Philadelphia Phillies,Los Angeles Dodgers,118,-135,checkbestodds
778460,2025-04-04,Chicago Cubs,San Diego Padres,-179,136,checkbestodds
778461,2025-04-04,Pittsburgh Pirates,New York Yankees,136,-172,checkbestodds
778463,2025-04-04,Boston Red Sox,St. Louis Cardinals,-116,-109,checkbestodds
778464,2025-04-04,Atlanta Braves,Miami Marlins,-263,185,checkbestodds
778465,2025-04-04,New York Mets,Toronto Blue Jays,-139,112,checkbestodds
778436,2025-04-05,San Francisco Giants,Seattle Mariners,-122,-102,checkbestodds
778437,2025-04-05,Los Angeles Angels,Cleveland Guardians,120,-152,checkbestodds
778438,2025-04-05,Texas Rangers,Tampa Bay Rays,-182,144,checkbestodds
778439,2025-04-05,Milwaukee Brewers,Cincinnati Reds,-133,105,checkbestodds
778440,2025-04-05,Minnesota Twins,Houston Astros,-139,113,checkbestodds
778441,2025-04-05,Kansas City Royals,Baltimore Orioles,-119,-104,checkbestodds
778442,2025-04-05,Colorado Rockies,Athletics,-115,-116,checkbestodds
778445,2025-04-05,Detroit Tigers,Chicago White Sox,-238,188,checkbestodds
778446,2025-04-05,New York Mets,Toronto Blue Jays,-139,108,checkbestodds
778448,2025-04-05,Philadelphia Phillies,Los Angeles Dodgers,-114,-111,checkbestodds
778449,2025-04-05,Pittsburgh Pirates,New York Yankees,128,-164,checkbestodds
778450,2025-04-05,Chicago Cubs,San Diego Padres,-123,-103,checkbestodds
778451,2025-04-05,Atlanta Braves,Miami Marlins,-270,200,checkbestodds
778452,2025-04-05,Washington Nationals,Arizona Diamondbacks,108,-143,checkbestodds
