current_pos,current_pos_display,player,pred_name,to_par,to_par_display,r1,r2,r3,r4,total_strokes,actual_sg_per_round,pre_sg_per_round,updated_sg_per_round,sim_win_pct,sim_make_cut_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,pre_win_prob,pre_top5_pct,pre_top10_prob,pre_top20_prob,pre_rank,rank_change
106,T102,Justin Lower,Justin Lower,0.0,E,72.0,,,,72.0,0.0,-0.2626694861072277,-0.1576016916643366,0.0,7.01,0.004,0.022000000000000002,0.13799999999999998,0.00698,3.6020000000000003,0.0926775075971674,0.1764513956146074,93.0,-13.0
107,T102,Kristoffer Ventura,Kristoffer Ventura,0.0,E,72.0,,,,72.0,0.0,-0.2517716868097828,-0.15106301208586967,0.0,6.894,0.004,0.03,0.16999999999999998,0.00712,3.788,0.0958469495111331,0.178037684041973,79.0,-28.0
108,T102,Lanto Griffin,Lanto Griffin,0.0,E,72.0,,,,72.0,0.0,-0.2383404666728667,-0.14300428000372,0.0,6.882000000000001,0.0,0.018000000000000002,0.122,0.0076,3.754,0.0964353687021239,0.1814155171947644,35.0,-73.0
109,T102,Mac Meissner,Mac Meissner,0.0,E,72.0,,,,72.0,0.0,-0.2602605548583112,-0.1561563329149867,0.0,7.058000000000001,0.002,0.01,0.146,0.0066,3.512,0.0939559982333782,0.1783942698190152,115.0,6.0
110,T102,Rafael Campos,Rafael Campos,0.0,E,72.0,,,,72.0,0.0,-1.6678490387833511,-1.0007094232700107,0.0,3.406,0.0,0.0,0.018000000000000002,0.00016,0.1699999999999999,0.0119627879141143,0.0293836151194625,132.0,22.0
111,T102,Rasmus Højgaard,Rasmus Højgaard,0.0,E,,,,,72.0,0.0,0.6188084225878748,0.3712850535527249,0.0,10.262,0.006,0.066,0.494,0.03832,13.918,0.25899929663799,0.3968834421859294,1.0,-110.0
112,T102,William Mouw,William Mouw,0.0,E,72.0,,,,72.0,0.0,-0.24056076568448,-0.144336459410688,0.0,6.827999999999999,0.006,0.022000000000000002,0.156,0.00748,3.866,0.0965426109860001,0.1813517576061761,45.0,-67.0
113,T113,A.J. Ewart,A.J. Ewart,1.0,+1,73.0,,,,73.0,-1.0,-0.2611088663097724,-0.5566653197858635,0.0,2.088,0.0,0.006,0.016,0.00694,3.588,0.0935930538452297,0.176854029578567,95.0,-18.0
114,T113,Christiaan Bezuidenhout,Christiaan Bezuidenhout,1.0,+1,73.0,,,,73.0,-1.0,0.4574228849816367,-0.125546269011018,0.0,3.078,0.004,0.01,0.068,0.02894,11.166,0.2217259307437782,0.3514870077799875,2.0,-112.0
115,T113,David Skinns,David Skinns,1.0,+1,73.0,,,,73.0,-1.0,-0.2360743144110484,-0.541644588646629,0.0,2.0340000000000003,0.0,0.002,0.024,0.00758,3.962,0.0993001046679461,0.1858333515908177,38.0,-77.0
116,T113,Denny McCarthy,Denny McCarthy,1.0,+1,73.0,,,,73.0,-1.0,0.119295062298884,-0.3284229626206696,0.0,2.738,0.0,0.004,0.06,0.0146,6.7780000000000005,0.1502993316086522,0.2618208979416795,5.0,-111.0
117,T113,Henrik Norlander,Henrik Norlander,1.0,+1,73.0,,,,73.0,-1.0,-0.2516949591195898,-0.5510169754717539,0.0,2.112,0.002,0.006,0.027999999999999997,0.0069,3.69,0.0951149515143926,0.1787929751474529,98.0,-19.0
118,T113,Nico Echavarria,Nico Echavarria,1.0,+1,73.0,,,,73.0,-1.0,-0.0174161193806505,-0.4104496716283903,0.0,2.342,0.0,0.008,0.038,0.01104,5.438,0.1273201584141998,0.2298081065862716,8.0,-110.0
119,T113,Takumi Kanaya,Takumi Kanaya,1.0,+1,73.0,,,,73.0,-1.0,-0.2450419211736977,-0.5470251527042187,0.0,2.004,0.0,0.006,0.034,0.0072,3.71,0.0946859819720642,0.1796387768040661,67.0,-52.0
120,T120,Erik van Rooyen,Erik van Rooyen,2.0,+2,74.0,,,,74.0,-2.0,-0.248349478615762,-0.9490096871694572,0.0,0.498,0.0,0.0,0.01,0.00762,3.76,0.0956210308122215,0.1807925841352165,31.0,-89.0
121,T120,Keller Harper,Keller Harper,2.0,+2,74.0,,,,74.0,-2.0,-0.2469974769912654,-0.9481984861947592,0.0,0.484,0.0,0.0,0.002,0.00778,3.838,0.0970541068173944,0.181970681603215,23.0,-98.0
122,T120,Kevin Kisner,Kevin Kisner,2.0,+2,74.0,,,,74.0,-2.0,-0.2455961941416832,-0.94735771648501,0.0,0.528,0.0,0.0,0.0,0.0075,3.666,0.0964341802245102,0.1812789338232709,44.0,-78.0
123,T120,Luke List,Luke List,2.0,+2,74.0,,,,74.0,-2.0,-0.2357492464153909,-0.9414495478492346,0.0,0.494,0.0,0.0,0.002,0.0078,3.916,0.096762990586993,0.1833673934815497,22.0,-101.0
124,T120,Mark Hubbard,Mark Hubbard,2.0,+2,74.0,,,,74.0,-2.0,-0.2555249775807664,-0.9533149865484599,0.0,0.512,0.0,0.0,0.002,0.00688,3.796,0.0960003337062974,0.179604831505298,99.0,-25.0
125,T120,Patrick Fishburn,Patrick Fishburn,2.0,+2,74.0,,,,74.0,-2.0,-0.2396330664760044,-0.9437798398856027,0.0,0.44600000000000006,0.0,0.002,0.006,0.0076,3.896,0.0970292589057543,0.1824957570042478,34.0,-91.0
126,T120,Phillip Yribarren,Phillip Yribarren,2.0,+2,74.0,,,,74.0,-2.0,-0.2444630967731269,-0.9466778580638762,0.0,0.48,0.0,0.0,0.008,0.00722,3.828,0.096898760099737,0.1819996822000892,61.0,-65.0
127,T127,Jesper Svensson,Jesper Svensson,3.0,+3,75.0,,,,75.0,-3.0,-0.2607372555056906,-1.3564423533034144,0.0,0.094,0.0,0.0,0.0,0.00686,3.634,0.0937574825777896,0.1793019032416969,100.0,-27.0
128,T127,Ryan Brehm,Ryan Brehm,3.0,+3,75.0,,,,75.0,-3.0,-0.2418261536948443,-1.3450956922169068,0.0,0.106,0.0,0.0,0.002,0.00722,3.75,0.0948276682167584,0.1824972247219654,62.0,-66.0
129,T129,Brendan Valdes,Brendan Valdes,4.0,+4,76.0,,,,76.0,-4.0,-0.2431626900444186,-1.7458976140266513,0.0,0.012,0.0,0.0,0.002,0.00716,3.926,0.0972349740096935,0.1810796589575896,74.0,-55.0
130,T129,Robert Streb,Robert Streb,4.0,+4,76.0,,,,76.0,-4.0,0.0,-1.6,0.0,0.012,0.0,0.0,0.0,,,,,,
131,131,Tony Finau,Tony Finau,6.0,+6,78.0,,,,78.0,-6.0,0.0433885075328024,-2.373966895480319,0.0,0.0,0.0,0.0,0.0,0.01318,6.046,0.1389120942472478,0.2432736155235629,6.0,-125.0
132,132,Morgan Deneen,Morgan Deneen,8.0,+8,80.0,,,,80.0,-8.0,-0.237858043071548,-3.342714825842929,0.0,0.0,0.0,0.0,0.0,0.0071,3.776,0.0970394578514364,0.1824763361793184,81.0,-51.0
