Id,year,date,name,course,City,State,Lat,Long,Course Par,Winning Score,CutLine,day0,day0low,day0high,day0avg,day0precip,day0wind,day1,day1low,day1high,day1avg,day1precip,day1wind,day2,day2low,day2high,day2avg,day2precip,day2wind
232020,2020,Feb 27 - Mar 1,The Honda Classic,"PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL. ",Palm Beach Gardens,FL,26.82,-80.14,70,-6,3,2/26/2020,64.4,91.4,76.82,0.649606299,17.8405,2/27/2020,50,66.2,60.26,0,21.9841,2/28/2020,44.6,66.2,54.32,0,19.1066
232022,2022,Mar 10 - 14,THE PLAYERS Championship,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL. ",Ponte Vedra Beach,FL,30.24,-81.39,72,-13,2,3/9/2022,66.92,87.08,73.58,0.578740157,17.8405,3/10/2022,60.08,71.06,66.92,1.011811024,8.2872,3/11/2022,59,69.98,64.94,1.12992126,8.7476
242009,2009,Jun 4 - 7,the Memorial Tournament,"Muirfield Village Golf Club - Dublin, OH. ",Dublin,OH,40.1,-83.11,72,-12,4,6/3/2009,53.06,64.04,58.28,0,13.6969,6/4/2009,53.06,69.98,59.72,0,15.8838,6/5/2009,48.02,75.02,62.24,0,11.9704
242010,2010,Jun 3 - 6,the Memorial Tournament presented by Nationwide Insurance,"Muirfield Village Golf Club - Dublin, OH. ",Dublin,OH,40.1,-83.11,72,-18,1,6/2/2010,66.02,86,73.76,0.251968504,14.5026,6/3/2010,64.04,80.06,70.7,0,10.2439,6/4/2010,64.94,86,76.1,0,12.7761
242013,2013,Jun 6 - 9,FedEx St. Jude Classic,"TPC Southwind - Memphis, TN. ",Memphis,TN,35.15,-90.05,70,-12,1,6/5/2013,71.06,89.06,79.7,0.708661417,11.1647,6/6/2013,69.08,82.94,76.1,0,12.8912,6/7/2013,69.08,82.94,75.92,0,14.963
242014,2014,Apr 17 - 20,RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC. ",Hilton Head Island,SC,32.16,-80.75,71,-11,4,4/16/2014,42.98,62.06,52.52,0,19.4519,4/17/2014,46.94,71.96,56.12,0,19.4519,4/18/2014,57.02,62.96,60.08,2.271653543,20.718
242015,2015,Apr 16 - 19,RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC. ",Hilton Head Island,SC,32.16,-80.75,71,-18,0,4/15/2015,66.92,87.98,75.2,1.161417323,11.9704,4/16/2015,57.02,66.92,62.42,0,17.3801,4/17/2015,57.92,73.94,62.96,0.051181102,8.2872
242016,2016,Apr 14 - 17,RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC. ",Hilton Head Island,SC,32.16,-80.75,71,-9,2,4/13/2016,57.02,71.96,63.86,0,15.3083,4/14/2016,57.02,69.98,62.78,0.011811024,19.9123,4/15/2016,53.96,60.98,57.92,0.011811024,21.1784
242017,2017,Apr 13 - 16,RBC Heritage,"Harbour Town Golf Links - Hilton Head Island, SC. ",Hilton Head Island,SC,32.16,-80.75,71,-13,-1,4/12/2017,53.96,80.96,67.82,0,7.0211,4/13/2017,55.04,84.02,68.54,0,9.5533,4/14/2017,57.92,82.94,70.52,0,11.1647
242020,2020,Mar 5 - 8,Arnold Palmer Invitational Pres. By Mastercard,"Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL. ",Orlando,FL,28.54,-81.38,72,-4,3,3/4/2020,66.02,87.98,76.1,0,16.3442,3/5/2020,71.06,91.04,79.52,0,26.8183,3/6/2020,62.06,78.08,69.98,0,22.4445
